,score,evaluation_time,best,num_trees,min_examples,growing_strategy,max_num_nodes,use_hessian_gain,shrinkage,num_candidate_attributes_ratio,max_depth
0,-0.3419157564640045,1329.11730471,False,300,9,BEST_FIRST_GLOBAL,32.0,true,0.2,0.4,
1,-0.33404937386512756,2370.868147806,False,400,7,LOCAL,,true,0.25,0.4,8.0
2,-0.3429229259490967,2463.478931267,False,300,8,BEST_FIRST_GLOBAL,32.0,true,0.15,0.7,
3,-0.34130024909973145,2975.046622737,False,400,8,LOCAL,,true,0.2,0.5,20.0
4,-0.33638566732406616,3015.017983432,False,300,8,BEST_FIRST_GLOBAL,256.0,false,0.15,0.4,
5,-0.33025962114334106,3028.845074588,False,500,8,LOCAL,,true,0.2,0.5,12.0
6,-0.3478352427482605,3306.305441539,False,300,7,BEST_FIRST_GLOBAL,16.0,false,0.15,0.6,
7,-0.33415326476097107,3507.084407575,False,300,6,LOCAL,,true,0.25,0.7,12.0
8,-0.33517080545425415,3536.678734081,False,300,7,LOCAL,,true,0.25,0.6,10.0
9,-0.33475571870803833,3628.123649168,False,300,6,LOCAL,,false,0.2,0.7,15.0
10,-0.34349507093429565,4050.8154801,False,400,7,BEST_FIRST_GLOBAL,16.0,false,0.2,0.6,
11,-0.33609965443611145,4373.702973831,False,400,6,BEST_FIRST_GLOBAL,32.0,false,0.2,0.5,
12,-0.34216058254241943,5090.262986978,False,400,9,BEST_FIRST_GLOBAL,16.0,false,0.25,0.7,
13,-0.3354794979095459,5861.098213956,False,500,8,LOCAL,,false,0.2,0.7,15.0
14,-0.3365066945552826,5927.796832409,False,500,7,LOCAL,,true,0.25,0.5,12.0
15,-0.3396363854408264,5988.999250801,False,300,7,BEST_FIRST_GLOBAL,32.0,false,0.15,0.7,
16,-0.3398304879665375,5994.363053873,False,500,9,BEST_FIRST_GLOBAL,16.0,false,0.2,0.6,
17,-0.3324909806251526,6008.334988882,False,500,7,LOCAL,,true,0.25,0.7,8.0
18,-0.3437284827232361,6069.763170882,False,400,7,BEST_FIRST_GLOBAL,16.0,false,0.15,0.7,
19,-0.3322787582874298,6120.949231041,False,500,7,BEST_FIRST_GLOBAL,64.0,false,0.2,0.4,
20,-0.33264192938804626,6148.075339031,False,500,6,BEST_FIRST_GLOBAL,64.0,false,0.15,0.4,
21,-0.34391552209854126,6181.085651844,False,500,7,BEST_FIRST_GLOBAL,16.0,true,0.2,0.7,
22,-0.34845730662345886,6268.982638001,False,400,7,LOCAL,,true,0.25,0.4,20.0
23,-0.3440857529640198,6709.04515519,False,400,6,BEST_FIRST_GLOBAL,16.0,false,0.2,0.4,
24,-0.3338044583797455,6790.362817492,False,400,9,LOCAL,,true,0.25,0.6,10.0
25,-0.3325536251068115,6808.628893833,False,400,9,LOCAL,,false,0.15,0.7,15.0
26,-0.3355804681777954,6934.906446279,False,300,7,LOCAL,,true,0.2,0.4,8.0
27,-0.3412129282951355,6960.806594806,False,300,9,LOCAL,,true,0.2,0.5,20.0
28,-0.3429604768753052,7003.028583199,False,300,7,LOCAL,,true,0.2,0.4,20.0
29,-0.332620233297348,7038.892617318,False,500,7,BEST_FIRST_GLOBAL,128.0,true,0.15,0.5,
30,-0.3318274915218353,7058.045662704,False,500,9,LOCAL,,true,0.25,0.5,8.0
31,-0.33212852478027344,7081.336357839,False,400,8,BEST_FIRST_GLOBAL,64.0,false,0.2,0.7,
32,-0.332154244184494,7106.907149499,False,400,7,BEST_FIRST_GLOBAL,128.0,false,0.25,0.7,
33,-0.33741313219070435,7124.908074955,False,400,9,LOCAL,,false,0.15,0.4,20.0
34,-0.3352281153202057,7248.460921131,False,400,9,BEST_FIRST_GLOBAL,128.0,true,0.15,0.4,
35,-0.34074458479881287,7370.696203385,False,300,7,BEST_FIRST_GLOBAL,32.0,false,0.15,0.4,
36,-0.3422483205795288,7390.198445489,False,500,6,BEST_FIRST_GLOBAL,16.0,false,0.15,0.4,
37,-0.3356497287750244,7453.451814049,False,400,8,LOCAL,,true,0.25,0.5,12.0
38,-0.3360060155391693,7460.086855339,False,400,7,BEST_FIRST_GLOBAL,32.0,true,0.2,0.6,
39,-0.33336710929870605,7531.903397712,False,400,6,BEST_FIRST_GLOBAL,256.0,true,0.25,0.6,
40,-0.34294596314430237,7537.877495812,False,500,6,LOCAL,,true,0.2,0.5,20.0
41,-0.3431292772293091,7696.399310674,False,300,7,LOCAL,,false,0.2,0.4,20.0
42,-0.33747926354408264,7709.891307053,False,300,9,BEST_FIRST_GLOBAL,64.0,true,0.2,0.6,
43,-0.3407854735851288,7728.747033708,False,500,9,BEST_FIRST_GLOBAL,16.0,false,0.25,0.5,
44,-0.3303298354148865,7787.425816106,False,500,9,BEST_FIRST_GLOBAL,128.0,false,0.15,0.7,
45,-0.3318278193473816,7883.548421655,False,300,9,LOCAL,,false,0.2,0.6,8.0
46,-0.3364962339401245,8072.424670027,False,400,9,LOCAL,,true,0.15,0.5,20.0
47,-0.3313799798488617,8085.883670713,False,300,9,LOCAL,,true,0.15,0.7,15.0
48,-0.3349689245223999,8366.389463878,False,300,9,LOCAL,,false,0.2,0.7,15.0
49,-0.3268469572067261,8818.052392859,True,300,6,LOCAL,,false,0.15,0.6,10.0
